sample_name	srr	condition
mESC_ATAC_rep1	SRR18313162	WT_untreated
mESC_ATAC_rep2	SRR18313161	WT_untreated
mESC_ATAC_rep3	SRR18313160	WT_untreated
mESC_ATAC_rep4	SRR18313159	WT_untreated
