motif_id	status	n_profiles	n_plots	error_hint
AC0265	FAILED_EMPTY	0	0	slurmstepd: error: *** JOB 28948168 ON compute-a-16-168 CANCELLED AT 2026-02-13T11:43:00 DUE TO TIME LIMIT *** 
AC0266	FAILED_EMPTY	0	0	slurmstepd: error: *** JOB 28948169 ON compute-a-16-167 CANCELLED AT 2026-02-13T11:43:00 DUE TO TIME LIMIT *** 
AC0267	OK	8	8	
AC0268	OK	8	8	
AC0269	OK	8	8	
AC0270	FAILED	4	0	slurmstepd: error: *** JOB 28948198 ON compute-b-16-187 CANCELLED AT 2026-02-13T11:44:00 DUE TO TIME LIMIT *** 
AC0271	OK	8	8	
AC0272	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0273	OK	8	8	
AC0274	OK	8	8	
AC0275	OK	8	8	
AC0276	FAILED	5	0	slurmstepd: error: *** JOB 28948204 ON compute-a-16-133 CANCELLED AT 2026-02-13T11:44:00 DUE TO TIME LIMIT *** 
AC0277	OK	8	8	
AC0278	OK	8	8	
AC0279	OK	8	8	
AC0280	PARTIAL	4	4	some presets skipped (low n)
AC0281	PARTIAL	4	4	some presets skipped (low n)
AC0282	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0283	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0284	PARTIAL	4	4	some presets skipped (low n)
AC0285	OK	8	8	
AC0286	OK	8	8	
AC0287	OK	8	8	
AC0288	OK	8	8	
AC0289	OK	8	8	
AC0290	OK	8	8	
AC0291	OK	8	8	
AC0292	OK	8	8	
AC0293	OK	8	8	
AC0294	OK	8	8	
AC0295	OK	8	8	
AC0296	OK	8	8	
AC0297	OK	8	8	
AC0298	OK	8	8	
AC0299	OK	8	8	
AC0300	OK	8	8	
AC0301	OK	8	8	
AC0302	OK	8	8	
AC0303	OK	8	8	
AC0304	OK	8	8	
AC0305	OK	8	8	
AC0306	OK	8	8	
AC0307	OK	8	8	
AC0308	OK	8	8	
AC0309	PARTIAL	4	4	some presets skipped (low n)
AC0310	PARTIAL	4	4	some presets skipped (low n)
AC0311	PARTIAL	4	4	some presets skipped (low n)
AC0312	OK	8	8	
AC0313	PARTIAL	4	4	some presets skipped (low n)
AC0314	PARTIAL	4	4	some presets skipped (low n)
AC0315	OK	8	8	
AC0316	OK	8	8	
AC0317	OK	8	8	
AC0318	OK	8	8	
AC0319	OK	8	8	
AC0320	OK	8	8	
AC0321	OK	8	8	
AC0322	OK	8	8	
AC0323	OK	8	8	
AC0324	OK	8	8	
AC0325	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0326	OK	8	8	
AC0327	PARTIAL	4	4	some presets skipped (low n)
AC0328	OK	8	8	
AC0329	FAILED	4	0	slurmstepd: error: *** JOB 28948292 ON compute-b-16-193 CANCELLED AT 2026-02-13T11:45:30 DUE TO TIME LIMIT *** 
AC0330	OK	8	8	
AC0331	PARTIAL	4	4	some presets skipped (low n)
AC0332	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0333	OK	8	8	
AC0334	OK	8	8	
AC0335	OK	8	8	
AC0336	OK	8	8	
AC0337	OK	8	8	
AC0338	OK	8	8	
AC0339	OK	8	8	
AC0340	OK	8	8	
AC0341	OK	8	8	
AC0342	OK	8	8	
AC0343	OK	8	8	
AC0344	OK	8	8	
AC0345	OK	8	8	
AC0346	OK	8	8	
AC0347	OK	8	8	
AC0348	OK	8	8	
AC0349	OK	8	8	
